packet_counter,decrypt_time_ns,decrypt_time_us
353,72158,72.158
354,83162,83.162
355,68914,68.914
356,73081,73.081
357,54175,54.175
358,75403,75.403
359,82288,82.288
360,65742,65.742
361,59867,59.867
362,60560,60.56
363,70231,70.231
364,55569,55.569
365,58930,58.93
366,269510,269.51
367,130621,130.621
368,126110,126.11
369,144986,144.986
370,77985,77.985
371,66005,66.005
372,276651,276.651
373,60197,60.197
374,57488,57.488
375,81654,81.654
376,92699,92.699
377,94525,94.525
378,97217,97.217
379,90009,90.009
380,89414,89.414
381,71654,71.654
382,112994,112.994
383,70838,70.838
384,75001,75.001
385,83080,83.08
386,59932,59.932
387,110485,110.485
388,97635,97.635
389,85378,85.378
390,94651,94.651
391,86135,86.135
392,96705,96.705
393,88978,88.978
394,497599,497.599
395,68790,68.79
396,68717,68.717
397,69794,69.794
398,162846,162.846
399,95999,95.999
400,63927,63.927
401,73574,73.574
402,129975,129.975
403,106064,106.064
404,79934,79.934
405,74130,74.13
406,52242,52.242
407,66914,66.914
408,99707,99.707
409,71224,71.224
410,67445,67.445
411,84553,84.553
412,153035,153.035
413,61828,61.828
414,71177,71.177
415,67403,67.403
416,103734,103.734
417,79941,79.941
418,294221,294.221
419,84032,84.032
420,170110,170.11
421,84755,84.755
422,192956,192.956
423,82491,82.491
424,73930,73.93
425,76310,76.31
426,59732,59.732
427,71869,71.869
428,80290,80.29
429,69379,69.379
430,79223,79.223
431,65962,65.962
432,83389,83.389
433,108362,108.362
434,66342,66.342
435,73339,73.339
436,67426,67.426
437,56512,56.512
438,324126,324.126
439,70131,70.131
440,92150,92.15
441,64330,64.33
442,68392,68.392
443,85079,85.079
444,154004,154.004
445,76938,76.938
446,65106,65.106
447,74616,74.616
448,63152,63.152
449,71933,71.933
450,68388,68.388
451,60176,60.176
452,221464,221.464
453,133279,133.279
454,127864,127.864
455,71227,71.227
456,59457,59.457
457,85331,85.331
458,109089,109.089
459,82539,82.539
460,75874,75.874
461,55610,55.61
462,284532,284.532
463,97349,97.349
464,51209,51.209
465,128039,128.039
466,53142,53.142
467,86477,86.477
468,92664,92.664
469,80916,80.916
470,79606,79.606
471,80071,80.071
472,85660,85.66
473,68951,68.951
474,55132,55.132
475,86838,86.838
476,63979,63.979
477,114688,114.688
478,94614,94.614
479,84163,84.163
480,94162,94.162
481,62485,62.485
482,111192,111.192
483,93329,93.329
484,73900,73.9
485,64251,64.251
486,57250,57.25
487,127699,127.699
488,111772,111.772
489,104097,104.097
490,94145,94.145
491,81281,81.281
492,82913,82.913
493,60718,60.718
494,68429,68.429
495,72773,72.773
496,83972,83.972
497,66329,66.329
498,179066,179.066
499,203565,203.565
500,145599,145.599
501,84708,84.708
502,332445,332.445
503,238752,238.752
504,385038,385.038
505,95834,95.834
506,84896,84.896
507,142404,142.404
508,82111,82.111
509,83598,83.598
510,69699,69.699
511,75600,75.6
512,76565,76.565
513,56505,56.505
514,70519,70.519
515,66675,66.675
516,74575,74.575
517,68062,68.062
518,103046,103.046
519,81560,81.56
520,63029,63.029
521,87075,87.075
522,151509,151.509
523,235381,235.381
524,89400,89.4
525,104220,104.22
526,73265,73.265
527,114398,114.398
528,118353,118.353
529,62089,62.089
530,265331,265.331
531,63593,63.593
532,97749,97.749
533,116985,116.985
534,66242,66.242
535,122075,122.075
536,66889,66.889
537,78250,78.25
538,79446,79.446
539,80231,80.231
540,64336,64.336
541,78510,78.51
542,99754,99.754
543,80040,80.04
544,66036,66.036
545,136519,136.519
546,68800,68.8
547,169693,169.693
548,179658,179.658
549,74808,74.808
550,78729,78.729
551,64706,64.706
552,157820,157.82
553,171954,171.954
554,144340,144.34
555,126490,126.49
556,82008,82.008
557,70494,70.494
558,81814,81.814
559,61170,61.17
560,89428,89.428
561,56550,56.55
562,90976,90.976
563,135234,135.234
564,429959,429.959
565,83483,83.483
566,69410,69.41
567,94037,94.037
568,88642,88.642
569,144175,144.175
570,109495,109.495
571,68824,68.824
572,84907,84.907
573,80347,80.347
574,91331,91.331
575,83551,83.551
576,86002,86.002
577,85059,85.059
578,96716,96.716
579,75970,75.97
580,119147,119.147
581,81809,81.809
582,115219,115.219
583,89453,89.453
584,80258,80.258
585,87751,87.751
586,91627,91.627
587,88186,88.186
588,113551,113.551
589,98301,98.301
590,321400,321.4
591,80272,80.272
592,133209,133.209
593,85551,85.551
594,298312,298.312
595,86399,86.399
596,67589,67.589
597,112198,112.198
598,135819,135.819
599,89642,89.642
600,81131,81.131
601,86740,86.74
602,85143,85.143
603,121252,121.252
604,81499,81.499
605,59693,59.693
606,113376,113.376
607,172364,172.364
608,693321,693.321
609,69876,69.876
610,74376,74.376
611,64945,64.945
612,64438,64.438
613,244394,244.394
614,59471,59.471
615,82279,82.279
616,118357,118.357
617,99101,99.101
618,95721,95.721
619,81629,81.629
620,108339,108.339
621,122654,122.654
622,75188,75.188
623,52056,52.056
624,83337,83.337
625,90852,90.852
626,92815,92.815
627,90916,90.916
628,82077,82.077
629,71924,71.924
630,380225,380.225
631,102908,102.908
632,94526,94.526
633,160731,160.731
634,72358,72.358
635,83033,83.033
636,91069,91.069
637,105932,105.932
638,84237,84.237
639,73599,73.599
640,89168,89.168
641,66431,66.431
642,74183,74.183
643,93614,93.614
644,70663,70.663
645,62092,62.092
646,207286,207.286
647,60449,60.449
648,50800,50.8
649,59169,59.169
650,86195,86.195
651,55421,55.421
652,89310,89.31
653,67844,67.844
654,58579,58.579
655,66036,66.036
656,53140,53.14
657,187994,187.994
658,144935,144.935
659,72688,72.688
660,72809,72.809
661,77981,77.981
662,211021,211.021
663,68044,68.044
664,64759,64.759
665,68803,68.803
666,207434,207.434
667,92791,92.791
668,84479,84.479
669,79917,79.917
670,1149437,1149.437
671,103943,103.943
672,73587,73.587
673,54608,54.608
674,52739,52.739
675,90783,90.783
676,87997,87.997
677,92199,92.199
678,91155,91.155
679,81041,81.041
680,241295,241.295
681,90117,90.117
682,90044,90.044
683,160253,160.253
684,90009,90.009
685,69450,69.45
686,75319,75.319
687,82475,82.475
688,276530,276.53
689,220062,220.062
690,368867,368.867
691,58848,58.848
692,102054,102.054
693,135199,135.199
694,149883,149.883
695,86157,86.157
696,62171,62.171
697,64371,64.371
