packet_counter,encrypt_time_ns,encrypt_time_us
1,1491900,1491.9
2,84926,84.926
3,78483,78.483
4,205969,205.969
5,73285,73.285
6,298739,298.739
7,127193,127.193
8,87188,87.188
9,106472,106.472
10,100723,100.723
11,88370,88.37
12,126576,126.576
13,56680,56.68
14,84537,84.537
15,56280,56.28
16,136192,136.192
17,131239,131.239
18,101734,101.734
19,83623,83.623
20,59614,59.614
21,125489,125.489
22,71487,71.487
23,82779,82.779
24,84084,84.084
25,56440,56.44
26,99584,99.584
27,127638,127.638
28,107645,107.645
29,98414,98.414
30,94985,94.985
31,90592,90.592
32,222292,222.292
33,78585,78.585
34,64852,64.852
35,56053,56.053
36,159724,159.724
37,55769,55.769
38,47020,47.02
39,55889,55.889
40,45366,45.366
41,119514,119.514
42,72517,72.517
43,93493,93.493
44,98543,98.543
45,92192,92.192
46,83041,83.041
47,69224,69.224
48,79637,79.637
49,60760,60.76
50,348736,348.736
51,84650,84.65
52,169881,169.881
53,58743,58.743
54,81014,81.014
55,151223,151.223
56,170654,170.654
57,60727,60.727
58,51991,51.991
59,60163,60.163
60,59250,59.25
61,76753,76.753
62,131635,131.635
63,50164,50.164
64,112398,112.398
65,50929,50.929
66,55696,55.696
67,108587,108.587
68,72077,72.077
69,59170,59.17
70,157562,157.562
71,60213,60.213
72,49843,49.843
73,51273,51.273
74,157101,157.101
75,47503,47.503
76,93612,93.612
77,47083,47.083
78,50787,50.787
79,58604,58.604
80,44976,44.976
81,78049,78.049
82,57603,57.603
83,52791,52.791
84,57873,57.873
85,47081,47.081
86,57724,57.724
87,67625,67.625
88,173944,173.944
89,54651,54.651
90,46848,46.848
91,104612,104.612
92,61109,61.109
93,49026,49.026
94,84052,84.052
95,45171,45.171
96,63296,63.296
97,51568,51.568
98,64635,64.635
99,51499,51.499
100,47362,47.362
101,86173,86.173
102,167920,167.92
103,72623,72.623
104,187445,187.445
105,60426,60.426
106,76589,76.589
107,88117,88.117
108,74584,74.584
109,67889,67.889
110,166193,166.193
111,85946,85.946
112,65970,65.97
113,61640,61.64
114,86507,86.507
115,50737,50.737
116,103914,103.914
117,78481,78.481
118,225850,225.85
119,91176,91.176
120,63624,63.624
121,97774,97.774
122,257961,257.961
123,81140,81.14
124,201808,201.808
125,58940,58.94
126,268736,268.736
127,65642,65.642
128,88437,88.437
129,68081,68.081
130,174392,174.392
131,61508,61.508
132,51125,51.125
133,110283,110.283
134,68356,68.356
135,46086,46.086
136,64837,64.837
137,65248,65.248
138,150399,150.399
139,50544,50.544
140,140882,140.882
141,63609,63.609
142,94193,94.193
143,89174,89.174
144,105966,105.966
145,47499,47.499
146,66953,66.953
147,70442,70.442
148,1732988,1732.988
