packet_counter,decrypt_time_ns,decrypt_time_us
353,56750,56.75
354,60594,60.594
355,53841,53.841
356,59901,59.901
357,50089,50.089
358,48568,48.568
359,51821,51.821
360,46664,46.664
361,49978,49.978
362,52734,52.734
363,47365,47.365
364,54171,54.171
365,40368,40.368
366,47225,47.225
367,61549,61.549
368,72561,72.561
369,75065,75.065
370,50016,50.016
371,53872,53.872
372,130692,130.692
373,61966,61.966
374,57586,57.586
375,50714,50.714
376,56277,56.277
377,47841,47.841
378,54715,54.715
379,54246,54.246
380,164075,164.075
381,111635,111.635
382,58971,58.971
383,51190,51.19
384,151108,151.108
385,43475,43.475
386,150648,150.648
387,45517,45.517
388,55741,55.741
389,44863,44.863
390,41493,41.493
391,51583,51.583
392,73217,73.217
393,50091,50.091
394,48495,48.495
395,40031,40.031
396,46368,46.368
397,46320,46.32
398,224680,224.68
399,48929,48.929
400,44227,44.227
401,65374,65.374
402,69327,69.327
403,61677,61.677
404,112665,112.665
405,67510,67.51
406,88389,88.389
407,68068,68.068
408,76220,76.22
409,60790,60.79
410,67026,67.026
411,56211,56.211
412,314349,314.349
413,52028,52.028
414,425060,425.06
415,50202,50.202
416,77151,77.151
417,63267,63.267
418,67670,67.67
419,74894,74.894
420,183708,183.708
421,71627,71.627
422,58624,58.624
423,81248,81.248
424,83234,83.234
425,54326,54.326
426,73263,73.263
427,59102,59.102
428,77168,77.168
429,66656,66.656
430,54360,54.36
431,59765,59.765
432,83779,83.779
433,58229,58.229
434,50998,50.998
435,44557,44.557
436,56589,56.589
437,56189,56.189
438,71484,71.484
439,73496,73.496
440,58097,58.097
441,63282,63.282
442,160071,160.071
443,73052,73.052
444,63202,63.202
445,57108,57.108
446,160408,160.408
447,51402,51.402
448,60263,60.263
449,69154,69.154
450,60158,60.158
451,53077,53.077
452,45789,45.789
453,48697,48.697
454,61628,61.628
455,55391,55.391
456,82275,82.275
457,75877,75.877
458,188418,188.418
459,48883,48.883
460,152309,152.309
461,53074,53.074
462,56835,56.835
463,59859,59.859
464,55155,55.155
465,43168,43.168
466,46089,46.089
467,42484,42.484
468,47977,47.977
469,59986,59.986
470,53178,53.178
471,94149,94.149
472,82725,82.725
473,62854,62.854
474,73958,73.958
475,66076,66.076
476,56772,56.772
477,57874,57.874
478,55396,55.396
479,50522,50.522
480,52162,52.162
481,75181,75.181
482,62380,62.38
483,55399,55.399
484,56077,56.077
485,44165,44.165
486,53012,53.012
487,89776,89.776
488,49382,49.382
489,50383,50.383
490,48447,48.447
491,52196,52.196
492,57010,57.01
493,49164,49.164
494,49061,49.061
495,47715,47.715
496,53383,53.383
497,48720,48.72
498,45932,45.932
499,57827,57.827
500,48414,48.414
501,66754,66.754
502,210193,210.193
503,70532,70.532
504,58159,58.159
505,73735,73.735
506,66435,66.435
507,57681,57.681
508,95547,95.547
509,86928,86.928
510,44740,44.74
511,58108,58.108
512,54814,54.814
513,93349,93.349
514,62060,62.06
515,53649,53.649
516,66885,66.885
517,67273,67.273
518,172381,172.381
519,80669,80.669
520,175664,175.664
521,65803,65.803
522,61634,61.634
523,66485,66.485
524,80576,80.576
525,81155,81.155
526,73560,73.56
527,60108,60.108
528,75077,75.077
529,60422,60.422
530,54877,54.877
531,51780,51.78
532,50161,50.161
533,52557,52.557
534,53723,53.723
535,48213,48.213
536,49966,49.966
537,44882,44.882
538,50512,50.512
539,49125,49.125
540,44054,44.054
541,49388,49.388
542,65506,65.506
543,99202,99.202
544,102629,102.629
545,56941,56.941
546,58233,58.233
547,54180,54.18
548,49422,49.422
549,49339,49.339
550,48090,48.09
551,57375,57.375
552,46676,46.676
553,48279,48.279
554,83438,83.438
555,66711,66.711
556,89510,89.51
557,57131,57.131
558,75830,75.83
559,56181,56.181
560,55214,55.214
561,52682,52.682
562,47061,47.061
563,52089,52.089
564,51138,51.138
565,45921,45.921
566,56737,56.737
567,60878,60.878
568,51866,51.866
569,51683,51.683
570,47873,47.873
571,51552,51.552
572,151449,151.449
573,52693,52.693
574,220533,220.533
575,60648,60.648
576,70734,70.734
577,62058,62.058
578,64156,64.156
579,61672,61.672
580,47829,47.829
581,51712,51.712
582,56272,56.272
583,48385,48.385
584,59515,59.515
585,51626,51.626
586,69067,69.067
587,54616,54.616
588,47952,47.952
589,48025,48.025
590,40975,40.975
591,45678,45.678
592,58514,58.514
593,49177,49.177
594,50627,50.627
595,45982,45.982
596,50994,50.994
597,43256,43.256
598,45542,45.542
599,45578,45.578
600,45095,45.095
601,64589,64.589
602,70079,70.079
603,67246,67.246
604,66969,66.969
605,61868,61.868
606,63274,63.274
607,64365,64.365
608,69027,69.027
609,47993,47.993
610,47475,47.475
611,66873,66.873
612,67084,67.084
