packet_counter,encrypt_time_ns,encrypt_time_us
1,1480220,1480.22
2,143832,143.832
3,164496,164.496
4,97189,97.189
5,123629,123.629
6,101287,101.287
7,100138,100.138
8,115051,115.051
9,85436,85.436
10,87881,87.881
11,80120,80.12
12,261574,261.574
13,96065,96.065
14,66996,66.996
15,107596,107.596
16,109701,109.701
17,96606,96.606
18,101518,101.518
19,111320,111.32
20,114989,114.989
21,107672,107.672
22,85355,85.355
23,161654,161.654
24,96935,96.935
25,101245,101.245
26,89141,89.141
27,100439,100.439
28,133262,133.262
29,143046,143.046
30,222658,222.658
31,113637,113.637
32,122895,122.895
33,170307,170.307
34,100971,100.971
35,271478,271.478
36,117771,117.771
37,120802,120.802
38,169530,169.53
39,140217,140.217
40,156371,156.371
41,95833,95.833
42,120321,120.321
43,113124,113.124
44,83310,83.31
45,126192,126.192
46,80676,80.676
47,111139,111.139
48,132333,132.333
49,142091,142.091
50,130906,130.906
51,78214,78.214
52,135258,135.258
53,121432,121.432
54,98599,98.599
55,94369,94.369
56,87799,87.799
57,107679,107.679
58,106477,106.477
59,127660,127.66
60,112544,112.544
61,105994,105.994
62,116304,116.304
63,110791,110.791
64,101866,101.866
65,125064,125.064
66,73328,73.328
67,106623,106.623
68,101906,101.906
69,89630,89.63
70,101600,101.6
71,85862,85.862
72,101587,101.587
73,97640,97.64
74,100117,100.117
75,117439,117.439
76,91760,91.76
77,97884,97.884
78,161527,161.527
79,114288,114.288
80,91961,91.961
81,125955,125.955
82,127615,127.615
83,121964,121.964
84,122289,122.289
85,97400,97.4
86,100944,100.944
87,152192,152.192
88,89157,89.157
89,81539,81.539
90,75160,75.16
91,68444,68.444
92,72702,72.702
93,118065,118.065
94,60503,60.503
95,87392,87.392
96,87098,87.098
97,78991,78.991
98,77171,77.171
99,96979,96.979
100,87760,87.76
101,170852,170.852
102,89615,89.615
103,93205,93.205
104,63804,63.804
105,73131,73.131
106,89290,89.29
107,61179,61.179
108,69139,69.139
109,85226,85.226
110,68990,68.99
111,87436,87.436
112,67957,67.957
113,76320,76.32
114,55423,55.423
115,87062,87.062
116,70353,70.353
117,79992,79.992
118,65969,65.969
119,75635,75.635
120,72155,72.155
121,86627,86.627
122,81215,81.215
123,70048,70.048
124,83052,83.052
125,51510,51.51
126,55853,55.853
127,112852,112.852
128,84918,84.918
129,106540,106.54
130,216075,216.075
131,152748,152.748
132,105243,105.243
133,214706,214.706
134,54127,54.127
135,107697,107.697
136,64074,64.074
137,103632,103.632
138,100324,100.324
139,78884,78.884
140,93025,93.025
141,93831,93.831
142,99407,99.407
143,90561,90.561
144,76431,76.431
145,81264,81.264
146,93075,93.075
147,131193,131.193
148,124928,124.928
149,147868,147.868
150,131510,131.51
151,82264,82.264
152,115701,115.701
153,72171,72.171
154,64968,64.968
155,77409,77.409
156,67897,67.897
157,61945,61.945
158,67894,67.894
159,72509,72.509
160,90198,90.198
161,68353,68.353
162,103120,103.12
163,75913,75.913
164,55587,55.587
165,68364,68.364
166,62207,62.207
167,63760,63.76
168,73177,73.177
169,66080,66.08
170,67887,67.887
171,62249,62.249
172,69587,69.587
173,81942,81.942
174,71312,71.312
175,69204,69.204
176,72895,72.895
177,73534,73.534
178,64544,64.544
179,70491,70.491
180,71472,71.472
181,76962,76.962
182,143397,143.397
183,96524,96.524
184,80422,80.422
185,85759,85.759
186,72820,72.82
187,74450,74.45
188,74030,74.03
189,65376,65.376
190,69101,69.101
191,60677,60.677
192,63361,63.361
193,77048,77.048
194,60596,60.596
195,77486,77.486
196,59373,59.373
197,69723,69.723
198,94390,94.39
