packet_counter,decrypt_time_ns,decrypt_time_us
1,1285450,1285.45
2,286699,286.699
3,125457,125.457
4,110559,110.559
5,102765,102.765
6,71643,71.643
7,125844,125.844
8,64979,64.979
9,94795,94.795
10,93578,93.578
11,93855,93.855
12,91523,91.523
13,67863,67.863
14,79798,79.798
15,88650,88.65
16,72403,72.403
17,68250,68.25
18,100527,100.527
19,97765,97.765
20,65623,65.623
21,72541,72.541
22,77067,77.067
23,71717,71.717
24,68266,68.266
25,71959,71.959
26,66450,66.45
27,86594,86.594
28,196286,196.286
29,132645,132.645
30,169806,169.806
31,104077,104.077
32,99400,99.4
33,96094,96.094
34,95305,95.305
35,100287,100.287
36,85264,85.264
37,170388,170.388
38,444303,444.303
39,110978,110.978
40,119471,119.471
41,82696,82.696
42,132453,132.453
43,241473,241.473
44,107874,107.874
45,80682,80.682
46,97248,97.248
47,95655,95.655
48,84781,84.781
49,117368,117.368
50,92161,92.161
51,80347,80.347
52,86717,86.717
53,82039,82.039
54,68567,68.567
55,87421,87.421
56,96942,96.942
57,71792,71.792
58,212063,212.063
59,81150,81.15
60,93198,93.198
61,91089,91.089
62,95524,95.524
63,104131,104.131
64,78321,78.321
65,81374,81.374
66,82278,82.278
67,65148,65.148
68,90784,90.784
69,66956,66.956
70,69217,69.217
71,93431,93.431
72,82155,82.155
73,86481,86.481
74,56417,56.417
75,63755,63.755
76,57405,57.405
77,61891,61.891
78,336797,336.797
79,100201,100.201
80,94802,94.802
81,212080,212.08
82,86358,86.358
83,72003,72.003
84,70762,70.762
85,79525,79.525
86,67264,67.264
87,136201,136.201
88,92510,92.51
89,64624,64.624
90,71438,71.438
91,66993,66.993
92,70074,70.074
93,94516,94.516
94,56405,56.405
95,62043,62.043
96,75565,75.565
97,69010,69.01
98,82049,82.049
99,76730,76.73
100,81947,81.947
101,73919,73.919
102,82638,82.638
103,67958,67.958
104,60069,60.069
105,102842,102.842
106,90258,90.258
107,75385,75.385
108,72296,72.296
109,125199,125.199
110,63723,63.723
111,58620,58.62
112,63473,63.473
113,153504,153.504
114,57478,57.478
115,76663,76.663
116,60779,60.779
117,64301,64.301
118,64276,64.276
119,60715,60.715
120,72003,72.003
121,61318,61.318
122,53856,53.856
123,57410,57.41
124,50555,50.555
125,57556,57.556
126,52277,52.277
127,93545,93.545
128,89420,89.42
129,89030,89.03
130,141143,141.143
131,124182,124.182
132,282277,282.277
133,70121,70.121
134,183671,183.671
135,131955,131.955
136,73345,73.345
137,99713,99.713
138,274387,274.387
139,68576,68.576
140,256932,256.932
141,80889,80.889
142,92751,92.751
143,174385,174.385
144,363509,363.509
145,63932,63.932
146,69025,69.025
147,143397,143.397
148,440640,440.64
149,106995,106.995
150,98858,98.858
151,70506,70.506
152,72266,72.266
153,68727,68.727
154,61094,61.094
155,71183,71.183
156,64706,64.706
157,56834,56.834
158,60377,60.377
159,65329,65.329
160,75343,75.343
161,69990,69.99
162,103574,103.574
163,76662,76.662
164,49389,49.389
165,76298,76.298
166,74173,74.173
167,68618,68.618
168,50054,50.054
169,54789,54.789
170,63117,63.117
171,68330,68.33
172,54913,54.913
173,75118,75.118
174,56950,56.95
175,53379,53.379
176,45859,45.859
177,62388,62.388
178,88856,88.856
179,67509,67.509
180,69112,69.112
181,70518,70.518
182,118244,118.244
183,111667,111.667
184,84072,84.072
185,74902,74.902
186,64726,64.726
187,60110,60.11
188,60730,60.73
189,63391,63.391
190,67676,67.676
191,54482,54.482
192,59344,59.344
193,64632,64.632
194,55943,55.943
195,68433,68.433
196,97408,97.408
197,92858,92.858
198,101908,101.908
199,74655,74.655
200,96657,96.657
201,102312,102.312
202,74063,74.063
203,61774,61.774
204,55757,55.757
205,82498,82.498
206,73064,73.064
207,100161,100.161
208,76140,76.14
209,65615,65.615
210,62953,62.953
211,58925,58.925
212,72375,72.375
213,69476,69.476
214,75582,75.582
215,87604,87.604
