packet_counter,decrypt_time_ns,decrypt_time_us
1,1562496,1562.496
2,82988,82.988
3,112986,112.986
4,90581,90.581
5,106776,106.776
6,196929,196.929
7,77389,77.389
8,90305,90.305
9,63977,63.977
10,74681,74.681
11,81355,81.355
12,81269,81.269
13,75393,75.393
14,82349,82.349
15,75040,75.04
16,74357,74.357
17,60654,60.654
18,66982,66.982
19,61585,61.585
20,69960,69.96
21,82068,82.068
22,60979,60.979
23,57761,57.761
24,86410,86.41
25,62543,62.543
26,85553,85.553
27,79688,79.688
28,144800,144.8
29,92156,92.156
30,91530,91.53
31,71694,71.694
32,63098,63.098
33,64922,64.922
34,88561,88.561
35,88970,88.97
36,76869,76.869
37,77920,77.92
38,54617,54.617
39,78779,78.779
40,82026,82.026
41,88732,88.732
42,75023,75.023
43,77924,77.924
44,81653,81.653
45,76289,76.289
46,86597,86.597
47,103109,103.109
48,106347,106.347
49,106154,106.154
50,89989,89.989
51,97650,97.65
52,240701,240.701
53,78706,78.706
54,73005,73.005
55,85862,85.862
56,93704,93.704
57,84944,84.944
58,129136,129.136
59,90806,90.806
60,82743,82.743
61,73259,73.259
62,79641,79.641
63,72982,72.982
64,61013,61.013
65,60892,60.892
66,93528,93.528
67,74486,74.486
68,70635,70.635
69,95318,95.318
70,206120,206.12
71,92919,92.919
72,90451,90.451
73,85329,85.329
74,74848,74.848
75,69082,69.082
76,66625,66.625
77,106575,106.575
78,104938,104.938
79,93828,93.828
80,244710,244.71
81,87709,87.709
82,85824,85.824
83,91644,91.644
84,140598,140.598
85,103843,103.843
86,118540,118.54
87,92534,92.534
88,75929,75.929
89,124549,124.549
90,271520,271.52
91,127514,127.514
92,85000,85.0
93,80790,80.79
94,109083,109.083
95,104869,104.869
96,106670,106.67
97,89676,89.676
98,92466,92.466
99,86584,86.584
100,90688,90.688
101,83509,83.509
102,82314,82.314
103,120715,120.715
104,118666,118.666
105,106080,106.08
106,87785,87.785
107,83585,83.585
108,80386,80.386
109,75881,75.881
110,60286,60.286
111,82567,82.567
112,122754,122.754
113,72597,72.597
114,63332,63.332
115,71107,71.107
116,77572,77.572
117,73424,73.424
118,97317,97.317
119,186457,186.457
120,73360,73.36
121,94699,94.699
122,204814,204.814
123,83065,83.065
124,86831,86.831
125,59637,59.637
126,85300,85.3
127,86122,86.122
128,119008,119.008
129,71843,71.843
130,57595,57.595
131,194347,194.347
132,78972,78.972
133,77936,77.936
134,84776,84.776
135,190849,190.849
136,66960,66.96
137,58138,58.138
138,75219,75.219
139,199594,199.594
140,79075,79.075
141,73570,73.57
142,74325,74.325
143,70575,70.575
144,82060,82.06
145,133904,133.904
146,207106,207.106
147,79642,79.642
148,178374,178.374
149,77911,77.911
150,194978,194.978
151,75581,75.581
152,58058,58.058
153,90345,90.345
154,270316,270.316
155,70676,70.676
156,77899,77.899
157,78828,78.828
158,72559,72.559
159,177545,177.545
160,62028,62.028
161,72271,72.271
162,73741,73.741
163,66699,66.699
164,74357,74.357
165,76611,76.611
166,79348,79.348
167,67882,67.882
168,62365,62.365
169,132737,132.737
170,401503,401.503
171,180792,180.792
172,80021,80.021
173,170200,170.2
174,72112,72.112
175,85948,85.948
176,82372,82.372
177,84101,84.101
178,72161,72.161
179,206807,206.807
180,95588,95.588
181,98249,98.249
182,90784,90.784
183,78701,78.701
184,110834,110.834
185,223707,223.707
186,116033,116.033
187,89497,89.497
188,89921,89.921
189,89645,89.645
